Query,Locale,Total Clicks,"Results (Entity, (Clicks;Average Position))"
rio mau,pt,2251,"Rio Mau FC-Portugal-Team-Futebol (1951;1.0), Rio Mau FC Feminino-Portugal-Team-Futebol (164;2.77), Estrelas Rio Mau-Portugal-Team-Futebol (69;2.32), GDC Rio Mau-Portugal-Team-Futebol (33;4.27), Rio Mau FC Veteranos-Portugal-Team-Futebol (15;10.0), Estrelas Rio Mau-Portugal-Team-Futsal (10;2.1), Rio Mau FC-Portugal-Team-Futsal (3;1.33), Rio Mau FC Sub-17-Portugal-Team-Futebol (2;5.0), GDC Rio Mau Sub-19-Portugal-Team-Futebol (2;11.0), Rio Mau FC Sub-19-Portugal-Team-Futebol (2;7.0)"
rio tinto,pt,5014,"SC Rio Tinto-Portugal-Team-Futebol (3723;1.0), CA Rio Tinto-Portugal-Team-Futebol (684;2.0), SC Rio Tinto Feminino-Portugal-Team-Futebol (462;3.0), SC Rio Tinto B-Portugal-Team-Futebol (65;6.11), Casa FCP Rio Tinto -Portugal-Team-Futebol (27;4.0), CD Rio Tinto-Portugal-Team-Andebol (10;8.5), SC Rio Tinto Sub-19-Portugal-Team-Futebol (8;17.62), SC Rio Tinto Sub-17-Portugal-Team-Futebol (5;16.0), SC Rio Tinto Sub-19-Portugal-Team-Futebol (4;10.5), Gd Rio Tinto-Portugal-Team-Futebol (4;7.0), CD Rio Tinto Sub-16-Portugal-Team-Andebol (3;1.0), CD Rio Tinto-Portugal-Team-Andebol (3;8.0), SC Rio Tinto Veteranos-Portugal-Team-Futebol (3;19.67), Casa FCP Rio Tinto -Portugal-Team-Futsal (3;8.0), Pedro Barbosa-Portugal-Player-Futebol-Q942727 (2;13.0), Gd Rio Tinto-Portugal-Team-Futsal (2;1.0), CD Rio Tinto Sub-14-Portugal-Team-Andebol (2;5.5), CD Rio Tinto Sub-16-Portugal-Team-Andebol (2;3.5), SC Rio Tinto Sub-15-Portugal-Team-Futebol (2;20.0)"
river,br,1678,"River Plate-Argentina-Team-Futebol-Q15799 (1210;1.0), River-PI-Brasil-Team-Futebol-Q3458836 (466;2.06), Darwin Núñez-Uruguay-Player-Futebol-Q46372260 (2;4.5)"
rodri,pt,1924,"Rodri Hernández-España-Player-Futebol-Q20994118 (1887;1.03), Rodrigo Mora-Portugal-Player-Futebol (18;2.11), Wenderson Galeno-Brasil-Player-Futebol-Q30122100 (10;2.4), Rodrigo Gomes-Portugal-Player-Futebol (4;7.25), James Rodríguez-Colombia-Player-Futebol-Q368441 (3;3.0), Costinha-Portugal-Player-Futebol-Q311087 (2;5.0)"
rodrigo mora,pt,2030,"Rodrigo Mora-Portugal-Player-Futebol (1974;1.01), Rodrigo Mora-Uruguay-Player-Futebol-Q965316 (47;2.62), Rodrigo Mora-Portugal-Player-Futebol (9;3.33)"
roma,br,1569,"Roma-Italia-Team-Futebol-Q2739 (1518;1.02), Romário-Brasil-Player-Futebol-Q178649 (45;2.02), Romelu Lukaku-Bélgica-Player-Futebol-Q313316 (4;7.25), Andrea Belotti-Italia-Player-Futebol-Q4754963 (2;2.0)"
roma,pt,3870,"Roma-Italia-Team-Futebol-Q2739 (3793;1.06), José Mourinho-Portugal-Coach-Futebol-Q79983 (24;2.0), Romário-Brasil-Player-Futebol-Q178649 (17;4.35), Roma 1927-Italia-Team-Futsal (9;3.22), Andrea Belotti-Italia-Player-Futebol-Q4754963 (8;4.0), Roma RCB-Italia-Team-Futsal (3;3.0), Renato Sanches-Portugal-Player-Futebol-Q18394009 (3;3.0), Rui Patrício-Portugal-Player-Futebol-Q294980 (3;4.0), Lazio-Italia-Team-Futebol-Q2609 (3;4.67), BNL Roma-Italia-Team-Futsal (3;2.33), Roma Volley Club-Italia-Team-Voleibol (2;4.0), Lottomatica Roma-Italia-Team-Futsal (2;4.0)"
romario,br,1583,"Romário-Brasil-Player-Futebol-Q178649 (1546;1.0), Romario Williams-Jamaica-Player-Futebol-Q19693221 (24;2.08), Romarinho-Brasil-Player-Futebol (4;2.0), Romário Baró-Portugal-Player-Futebol-Q50069716 (3;2.0), Romário-Brasil-Player-Futebol-Q20048349 (3;19.0), Romário Baldé-Guinea Bissau-Player-Futebol-Q17560726 (3;2.0)"
romario,pt,2048,"Romário-Brasil-Player-Futebol-Q178649 (1880;1.01), Romário Baró-Portugal-Player-Futebol-Q50069716 (140;2.0), Romário Baldé-Guinea Bissau-Player-Futebol-Q17560726 (19;3.63), Romário Vieira-Guinea Bissau-Player-Futebol (4;4.0), Romário-Portugal-Player-Futebol (3;18.67), Romário-Portugal-Player-Futebol (2;17.0)"
romariz,pt,2371,"Romariz Lousada Feminino-Portugal-Team-Futebol (1056;1.05), Romariz Lousada-Portugal-Team-Futebol (558;2.58), Romariz Sta Maria Feira-Portugal-Team-Futebol (372;2.26), Romariz Lousada Sub-19-Portugal-Team-Futebol (179;4.49), Romariz Lousada Sub-13-Portugal-Team-Futebol (66;6.73), Romariz Lousada Sub-15-Portugal-Team-Futebol (53;5.13), Romariz Lousada Sub-17-Portugal-Team-Futebol (39;10.38), Romariz Lousada Sub-12-Portugal-Team-Futebol (14;9.93), Romariz Lousada-Portugal-Team-Futebol (9;14.22), Romariz Lousada Sub-15-Portugal-Team-Futebol (7;9.14), Romariz Lousada Sub-14-Portugal-Team-Futebol (5;7.6), Romariz Lousada Sub-17-Portugal-Team-Futebol (4;12.25), Custodio Romariz-Portugal-Player-Futebol (3;21.0), Romariz Lousada Veteranos-Portugal-Team-Futebol (2;11.5), Romariz Sta Maria Feira Sub-15-Portugal-Team-Futebol (2;19.5), Romariz Sta Maria Feira Sub-13-Portugal-Team-Futebol (2;15.5)"
ronaldinho,pt,1635,"Ronaldinho Gaúcho-Brasil-Player-Futebol-Q39444 (1615;1.0), Ronaldinho Mendes-Portugal-Player-Futebol (18;3.0), Ronaldinho Gomes-Santo Tomé y Príncipe-Player-Futebol (2;2.0)"
ronaldo,br,2242,"Ronaldo-Brasil-Player-Futebol-Q529207 (1458;2.0), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (637;1.0), Ronaldinho Gaúcho-Brasil-Player-Futebol-Q39444 (101;3.0), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (41;3.95), Ronaldo-Brasil-Player-Futebol-Q21707180 (5;34.6)"
ronaldo,pt,13468,"Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (10512;1.0), Ronaldo-Brasil-Player-Futebol-Q529207 (1954;2.25), Cristiano Ronaldo Jr.-Portugal-Player-Futebol (846;2.61), Ronaldinho Gaúcho-Brasil-Player-Futebol-Q39444 (84;3.92), Ronaldo Camará-Guinea Bissau-Player-Futebol (27;5.07), Cristiano Ronaldo-Portugal-Player-Futebol (13;8.54), Ronaldo-Brasil-Player-Futebol-Q2466806 (7;13.29), Ronaldo Tavares-Portugal-Player-Futebol-Q22162778 (6;8.17), Ronaldo Lumungo-Santo Tomé y Príncipe-Player-Futebol (5;6.4), Ronaldo Damus-Haití-Player-Futebol (4;7.25), Ronaldo Almeida-Cuba-Player-Andebol (3;2.0), Cristiano Ronaldo-Portugal-Player-Futebol (3;10.67), Ronaldo-Portugal-Player-Futebol (2;18.5), Ronaldo-Brasil-Director-Futebol (2;5.5)"
ronfe,pt,1643,"Desp. Ronfe-Portugal-Team-Futebol (1547;1.0), Juv. Ronfe-Portugal-Team-Futebol (48;2.0), Juv. Ronfe Sub-17-Portugal-Team-Futebol (12;7.0), Desp. Ronfe Sub-19-Portugal-Team-Futebol (11;10.0), Juv. Ronfe Sub-19-Portugal-Team-Futebol (8;5.0), Desp. Ronfe Sub-17-Portugal-Team-Futebol (6;9.0), Desp. Ronfe Sub-15-Portugal-Team-Futebol (3;11.0), Desp. Ronfe Sub-17-Portugal-Team-Futebol (2;16.5), Juv. Ronfe Veteranos-Portugal-Team-Futebol (2;6.0), Juv. Ronfe Sub-13-Portugal-Team-Futebol (2;8.0), Desp. Ronfe Sub-13-Portugal-Team-Futebol (2;13.0)"
roriz,pt,2762,"UDS Roriz-Portugal-Team-Futebol (1837;1.0), FC Roriz-Portugal-Team-Futebol (566;2.0), GDC Roriz-Portugal-Team-Futebol (177;4.12), UDS Roriz Feminino-Portugal-Team-Futebol (82;3.38), UDS Roriz Sub-19-Portugal-Team-Futebol (27;7.67), UDS Roriz Sub-17-Portugal-Team-Futebol (26;7.58), UDS Roriz Sub-15-Portugal-Team-Futebol (13;11.92), UDS Roriz-Portugal-Team-Futsal (10;1.0), UDS Roriz Sub-13-Portugal-Team-Futebol (7;9.57), Chiquinho-Portugal-Player-Futebol-Q17486571 (5;3.4), EF Miguel Roriz-Portugal-Team-Futebol (5;6.0), UDS Roriz Sub-14-Portugal-Team-Futebol (3;8.0), Parque de Jogos do FC Roriz-Portugal-Stadium-Futebol (2;4.0)"
ruben,pt,2670,"Ruben Amorim-Portugal-Player-Futebol-Q368682 (1476;1.0), Ruben Amorim-Portugal-Coach-Futebol-Q368682 (772;2.06), Rúben Silvestre-Portugal-Player-Futebol-Q16236539 (238;2.65), Rúben Dias-Portugal-Player-Futebol-Q21621168 (63;3.43), Rúben Semedo-Portugal-Player-Futebol-Q16236521 (52;4.58), Rúben Neves-Portugal-Player-Futebol-Q17486599 (32;5.0), Rúben Ribeiro-Portugal-Player-Futebol-Q7386746 (11;7.73), Rúben Prey-Portugal-Player-Basquetebol (9;1.67), Rúben Vinagre-Portugal-Player-Futebol-Q26255539 (7;6.57), Rúben Teixeira-Portugal-Player-Futsal (5;1.8), Rúben Freire-Portugal-Player-Futsal (3;3.67), Rúben Regufe-Portugal-Player-Futebol (2;6.5)"
ruben amorim,pt,5525,"Ruben Amorim-Portugal-Coach-Futebol-Q368682 (2777;2.02), Ruben Amorim-Portugal-Player-Futebol-Q368682 (2740;1.01), Rúben Amorim-Portugal-Player-Futebol (6;9.67), Rúben Amorim-Portugal-Player-Futebol (2;3.5)"
rui borges,pt,6752,"Rui Borges-Portugal-Coach-Futebol-Q121147850 (5486;1.0), Rui Borges-Portugal-Player-Futebol-Q121147850 (884;2.2), Rui Borges-Portugal-Player-Futebol-Q7378708 (215;4.13), Rui Borges-Portugal-Coach-Futebol (145;3.26), Rui Borges-Portugal-Player-Futebol (5;9.6), Rui Borges-Portugal-Player-Futebol (5;10.2), Rui Borges-Portugal-Player-Futebol (3;5.33), Rui Borges-Portugal-Player-Futebol (3;17.33), Rui Borges-Portugal-Player-Futebol (2;12.0), Rui Borges-Portugal-Player-Futebol (2;13.0), Rui Borges-Portugal-Referee-Futebol (2;1.5)"
rui silva,pt,3425,"Rui Silva-Portugal-Player-Futebol-Q16236537 (3248;1.01), Mário Rui-Portugal-Player-Futebol-Q3869208 (53;1.98), Rui Silva-Portugal-Player-Andebol (50;1.86), Rui Silva-Portugal-Player-Futebol-Q20974219 (24;11.29), Rui Silva-Portugal-Player-Futebol (12;3.42), Rui Silva-Portugal-Coach-Futebol (8;6.12), Rui Silva-Portugal-Coach-Futebol (6;7.17), Rui Silva-Portugal-Coach-Futebol (6;4.17), Rui Silva-Portugal-Player-Andebol (4;3.5), Rui Silva-Portugal-Player-Futebol (4;10.25), Rui Silva-Portugal-Player-Futebol (3;11.33), Rui Silva-Portugal-Player-Futebol (3;10.0), Rui Silva-Portugal-Player-Futsal (2;7.0), Rui Silva-Portugal-Coach-Andebol (2;12.5)"
saca,pt,2330,"Sacavenense-Portugal-Team-Futebol (2311;1.0), Sacavenense-Portugal-Team-Futsal (5;3.0), João Palhinha-Portugal-Player-Futebol-Q16236952 (4;2.0), Rúben Semedo-Portugal-Player-Futebol-Q16236521 (2;7.0), Tiago Santos-Portugal-Player-Futebol-Q113955589 (2;6.0), José Fonte-Portugal-Player-Futebol-Q2736254 (2;3.5), Bebé-Portugal-Player-Futebol-Q5406133 (2;9.5), Catujalense-Portugal-Team-Futebol (2;3.0)"
sacavenense,pt,5192,"Sacavenense-Portugal-Team-Futebol (4869;1.0), João Palhinha-Portugal-Player-Futebol-Q16236952 (42;2.0), Sacavenense-Portugal-Team-Futsal (39;1.0), Sacavenense Sub-17-Portugal-Team-Futebol (36;14.61), Sacavenense Sub-19-Portugal-Team-Futebol (26;10.92), Sacavenense Sub-15-Portugal-Team-Futebol (21;14.67), Rúben Semedo-Portugal-Player-Futebol-Q16236521 (20;3.6), Tiago Santos-Portugal-Player-Futebol-Q113955589 (19;4.74), Sacavenense Feminino-Portugal-Team-Futebol (16;8.19), Sacavenense Sub-16-Portugal-Team-Futebol (16;14.25), Pepa-Portugal-Coach-Futebol (13;4.77), José Fonte-Portugal-Player-Futebol-Q2736254 (11;3.64), Sacavenense Sub-14-Portugal-Team-Futebol (10;16.0), Diogo Spencer-Portugal-Player-Futebol (8;8.25), Sacavenense Sub-13-Portugal-Team-Futebol (7;13.14), Bebé-Portugal-Player-Futebol-Q5406133 (6;12.0), Sacavenense Veteranos-Portugal-Team-Futebol (5;10.6), Sacavenense B-Portugal-Team-Futebol (5;17.6), Rui Fonte-Portugal-Player-Futebol-Q955451 (3;19.67), Miguel Rosa-Portugal-Player-Futebol-Q6844779 (3;7.67), Wagner Pina-Cabo Verde-Player-Futebol (2;10.0), Sacavenense Sub-17-Portugal-Team-Futebol (2;22.5), Campo do Sacavenense - Campo nº 3-Portugal-Stadium-Futebol (2;1.0)"
salah,br,1963,"Mohamed Salah-Egipto-Player-Futebol-Q1354960 (1956;1.0), Salah Mohsen-Egipto-Player-Futebol (7;2.14)"
salah,pt,2418,"Mohamed Salah-Egipto-Player-Futebol-Q1354960 (2414;1.01), Mohamed Salah-Qatar-Player-Futebol (4;3.5)"
salgueiros,pt,7579,"SC Salgueiros-Portugal-Team-Futebol-Q1754163 (7295;1.0), Ricardo Velho-Portugal-Player-Futebol-Q38182359 (53;2.62), Cândido Costa-Portugal-Player-Futebol-Q973903 (41;2.29), André Silva-Portugal-Player-Futebol-Q15113616 (28;2.89), SC Salgueiros B-Portugal-Team-Futebol (27;19.85), SC Salgueiros Sub-13-Portugal-Team-Futebol (19;10.21), SC Salgueiros Sub-17-Portugal-Team-Futebol (18;17.72), SC Salgueiros Sub-15-Portugal-Team-Futebol (13;16.38), Deco-Portugal-Player-Futebol-Q659634 (13;5.0), SC Salgueiros Sub-19-Portugal-Team-Futebol (12;12.92), SC Salgueiros Sub-16-Portugal-Team-Futebol (11;15.45), Cícero-Guinea Bissau-Player-Futebol-Q1150826 (8;12.5), José Moreira-Portugal-Player-Futebol-Q710788 (7;8.43), SC Salgueiros Sub-14-Portugal-Team-Futebol (7;12.71), SC Salgueiros-Portugal-Team-Futsal (4;1.0), SC Salgueiros Veteranos-Portugal-Team-Futebol (4;15.0), Sá Pinto-Portugal-Player-Futebol-Q447031 (3;6.33), Marco Caneira-Portugal-Player-Futebol-Q343997 (3;6.33), SC Salgueiros Feminino-Portugal-Team-Futebol (3;8.33), Miki Fehér-Hungría-Player-Futebol-Q185649 (2;12.5), SC Salgueiros Sub-21-Portugal-Team-Futebol (2;19.0), SC Salgueiros Sub-23-Portugal-Team-Futebol (2;13.5), Francisco Agatão-Portugal-Coach-Futebol (2;9.5), João Morgado-Portugal-Coach-Futebol (2;17.0)"
samora,pt,1582,"Samora Correia-Portugal-Team-Futebol (1519;1.0), Samora Correia Sub-19-Portugal-Team-Futebol (26;6.62), AR Porto Alto-Portugal-Team-Futebol (20;2.0), Samora Correia Sub-15-Portugal-Team-Futebol (5;8.8), Salvador Salvador-Portugal-Player-Futebol (5;2.2), Samora Correia Sub-17-Portugal-Team-Futebol (3;9.33), Samora Correia Sub-17-Portugal-Team-Futebol (2;10.0), Samora Correia Sub-16-Portugal-Team-Andebol (2;2.0)"
samu,pt,6183,"Samu Aghehowa-España-Player-Futebol (5821;1.0), Samuel Costa-Portugal-Player-Futebol (324;2.03), Samuel Etoo-Camérun-Player-Futebol-Q1255625 (12;3.58), Samuel Soares-Portugal-Player-Futebol-Q108114745 (7;6.43), Samu-Portugal-Player-Futebol (5;15.4), Samuel Lino-Brasil-Player-Futebol-Q67222776 (5;9.4), Samu-España-Player-Futebol (3;10.0), Samuel Dahl-Suecia-Player-Futebol (2;2.0), Samu-Portugal-Player-Futebol (2;18.5), Samuel Essende-Congo RD-Player-Futebol (2;3.0)"
sandinenses,pt,1557,"Os Sandinenses-Portugal-Team-Futebol (1250;1.23), Dragões Sandinenses-Portugal-Team-Futebol (257;1.71), Os Sandinenses Sub-19-Portugal-Team-Futebol (23;17.7), Os Sandinenses Sub-17-Portugal-Team-Futebol (10;17.0), Os Sandinenses Sub-15-Portugal-Team-Futebol (10;17.2), Os Sandinenses Feminino-Portugal-Team-Futebol (5;4.8), Pedro Mendes-Portugal-Player-Futebol (2;3.0)"
sanjoanense,pt,5280,"AD Sanjoanense-Portugal-Team-Futebol (3028;1.0), SC Sanjoanense-Portugal-Team-Futebol (1679;2.23), Sanjoanense AC-Portugal-Team-Futebol (219;5.83), AD Sanjoanense-Portugal-Team-Hóquei em Patins (108;1.15), AD Sanjoanense-Portugal-Team-Andebol (55;1.4), AD Sanjoanense-Portugal-Team-Basquetebol (51;1.76), Dínamo Sanjoanense-Portugal-Team-Futsal (32;1.09), Cândido Costa-Portugal-Player-Futebol-Q973903 (27;2.78), Dínamo Sanjoanense-Portugal-Team-Futebol (23;8.17), AD Sanjoanense-Portugal-Team-Hóquei em Patins (10;4.5), AD Sanjoanense Minis-Portugal-Team-Andebol (7;1.14), Sanjoanense FC-Portugal-Team-Futebol (6;13.0), Vítor Pereira-Portugal-Coach-Futebol-Q556610 (6;4.5), AD Sanjoanense Sub-12-Portugal-Team-Basquetebol (5;1.0), AD Sanjoanense-Portugal-Team-Basquetebol (4;8.25), David Carmo-Angola-Player-Futebol-Q56678375 (4;4.25), AD Sanjoanense Veteranos-Portugal-Team-Basquetebol (3;15.0), Luís Castro-Portugal-Coach-Futebol-Q15896123 (3;6.67), João Mário-Portugal-Player-Futebol-Q60676442 (2;9.5), António Sousa-Portugal-Player-Futebol-Q611428 (2;19.5), AD Sanjoanense-Portugal-Team-Basquetebol (2;7.0), SC Sanjoanense-Portugal-Team-Futsal (2;3.5), AD Sanjoanense Sub-17-Portugal-Team-Hóquei em Patins (2;6.0)"
santa,pt,1875,"Santa Clara-Portugal-Team-Futebol-Q740637 (1673;1.0), UDR Santa Maria-Portugal-Team-Futebol (61;5.67), ADC Santa Isabel-Portugal-Team-Futsal (46;1.13), Santa Iria-Portugal-Team-Futebol (43;6.86), U. Santarém-Portugal-Team-Futebol (20;4.0), Santa Maria FC-Portugal-Team-Futebol (15;9.8), Feirense-Portugal-Team-Futebol-Q671042 (13;2.0), Paulinho-Portugal-Player-Futebol-Q6298297 (4;3.0)"
santa clara,pt,6781,"Santa Clara-Portugal-Team-Futebol-Q740637 (6367;1.0), CF Santa Clara-Portugal-Team-Futebol (100;5.34), Santa Clara Sub-23-Portugal-Team-Futebol (88;8.6), Ukra-Portugal-Player-Futebol-Q466394 (40;2.05), Santa Clara-Portugal-Team-Futsal (33;2.0), Santa Clara Sub-19-Portugal-Team-Futebol (26;15.08), Santa Clara Sub-15-Portugal-Team-Futebol (24;16.62), Santa Clara Feminino-Portugal-Team-Futebol (20;6.15), Santa Clara B-Portugal-Team-Futebol (17;19.24), Santa Clara Sub-17-Portugal-Team-Futebol (15;17.07), Pedro Pauleta-Portugal-Player-Futebol-Q218165 (9;3.22), Santa Clara-Portugal-Team-Futsal (9;1.0), CF Santa Clara Feminino-Portugal-Team-Futebol (7;10.0), CF Santa Clara-Portugal-Team-Futsal (6;3.0), Vítor Pereira-Portugal-Coach-Futebol-Q556610 (5;2.6), Santa Clara-Portugal-Team-Hóquei em Patins (4;2.0), CF Santa Clara Sub-19-Portugal-Team-Futebol (4;13.25), Santa Clara Veteranos-Portugal-Team-Futebol (3;12.0), Estádio de São Miguel-Portugal-Stadium-Futebol (2;10.0), Santa Clara Sub-13-Portugal-Team-Futebol (2;15.5)"
santa cruz,br,2574,"Santa Cruz-Brasil-Team-Futebol (2278;1.0), Santa Cruz de Natal-Brasil-Team-Futebol (150;3.15), Santa Cruz-RN-Brasil-Team-Futebol (38;6.08), Santa Cruz-RS-Brasil-Team-Futebol (34;9.76), Roque Santa Cruz-Paraguay-Player-Futebol-Q152492 (33;3.94), Rivaldo-Brasil-Player-Futebol-Q483577 (11;2.09), Santa Cruz Feminino-Brasil-Team-Futebol (9;6.56), Túlio Maravilha-Brasil-Player-Futebol-Q714354 (6;7.33), Santa Cruz-PB-Brasil-Team-Futebol (4;13.25), Santa Cruz-RJ-Brasil-Team-Futebol (4;13.25), Marta-Brasil-Player-Futebol-Q228616 (3;3.0), Thiago Galhardo-Brasil-Player-Futebol-Q20050532 (2;2.5), Santa Cruz Breakers-Estados Unidos-Team-Futebol (2;17.5)"
santa iria,pt,3416,"Santa Iria-Portugal-Team-Futebol (3166;1.12), Santa Iria Sub-15-Portugal-Team-Futebol (72;5.29), At. Povoense-Portugal-Team-Futebol (57;1.82), Santa Iria Sub-17-Portugal-Team-Futebol (30;7.63), Santa Iria Sub-19-Portugal-Team-Futebol (29;7.28), Santa Iria Sub-14-Portugal-Team-Futebol (20;7.9), Bragadense-Portugal-Team-Futebol (12;3.0), Santa Iria-Portugal-Team-Futsal (6;2.0), Santa Iria Sub-17-Portugal-Team-Futebol (5;13.0), Santa Iria Sub-13-Portugal-Team-Futebol (5;7.2), Santa Iria-Portugal-Team-Futsal (4;2.75), José Rui-Cabo Verde-Player-Futebol-Q3658280 (3;17.67), Santa Iria Sub-21-Portugal-Team-Futebol (3;9.33), Patrícia Morais-Portugal-Player-Futebol-Q23771632 (2;16.0), CAD-Portugal-Team-Futebol (2;4.0)"
santa maria,pt,3587,"UDR Santa Maria-Portugal-Team-Futebol (1997;2.32), Santa Maria FC-Portugal-Team-Futebol (1520;3.71), Feirense-Portugal-Team-Futebol-Q671042 (23;1.0), Paulinho-Portugal-Player-Futebol-Q6298297 (17;3.35), Santa Maria FC-Portugal-Team-Futsal (6;2.0), Fábio Vieira-Portugal-Player-Futebol-Q63032399 (4;9.5), Nélson Oliveira-Portugal-Player-Futebol-Q312507 (3;16.0), Manu Silva-Portugal-Player-Futebol (3;7.0), Youssef Chermiti-Portugal-Player-Futebol-Q116213349 (2;1.0), Dário Essugo-Portugal-Player-Futebol-Q106091717 (2;11.0), AD Oliveirense-Portugal-Team-Futebol (2;8.0), S. João Ver-Portugal-Team-Futebol (2;3.0), Hugo Vieira-Portugal-Player-Futebol-Q2071829 (2;14.0), UDR Santa Maria-Portugal-Team-Futsal (2;6.0), UDR Santa Maria Sub-17-Portugal-Team-Futebol (2;59.0)"
santarem,pt,1707,"U. Santarém-Portugal-Team-Futebol (1331;1.0), Ac. Santarém-Portugal-Team-Futebol (198;5.17), VC Santarém-Portugal-Team-Futsal (32;2.72), Samora Correia-Portugal-Team-Futebol (25;3.44), AF Santarém-Portugal-Competition-Futebol (18;17.94), SL Cartaxo-Portugal-Team-Futebol (17;4.06), CD Fátima-Portugal-Team-Futebol (13;2.08), U. Tomar-Portugal-Team-Futebol (8;6.62), Ferreira do Zêzere-Portugal-Team-Futebol (7;6.14), Coruchense-Portugal-Team-Futebol (6;6.67), GD Marinhais-Portugal-Team-Futebol (6;10.0), Amiense-Portugal-Team-Futebol (5;10.8), Alcanenense-Portugal-Team-Futebol (5;8.8), VC Santarém-Portugal-Team-Futsal (4;2.0), VC Santarém-Portugal-Team-Futebol (4;16.5), Santarém Basket-Portugal-Team-Basquetebol (4;2.0), U. Santarém-Portugal-Team-Basquetebol (4;4.0), U. Almeirim-Portugal-Team-Futebol (4;16.75), AFP Santarém-Portugal-Competition-Futebol (3;16.67), Fazendense-Portugal-Team-Futebol (3;11.33), At. Riachense-Portugal-Team-Futebol (2;14.5), CD Torres Novas-Portugal-Team-Futebol (2;10.0), Campeonato de Santarém-Portugal-Competition-Futebol (2;21.5), AF Santarém 1ª Divisão-Portugal-Competition-Futebol (2;33.0), Ferreira do Zêzere-Portugal-Team-Futsal (2;1.0)"
santos,br,8447,"Santos-Brasil-Team-Futebol-Q80955 (8314;1.05), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (57;1.91), Neymar-Brasil-Player-Futebol-Q142794 (51;2.96), Gabriel Barbosa-Brasil-Player-Futebol-Q13646572 (6;4.83), Pedro-Brasil-Player-Futebol-Q47491410 (4;5.75), Pelé-Brasil-Player-Futebol-Q12897 (4;7.0), Rodrygo-Brasil-Player-Futebol-Q42728914 (3;7.0), Danilo-Brasil-Player-Futebol-Q437329 (2;12.5), Oscar-Brasil-Player-Futebol-Q19497 (2;8.5), Kaká-Brasil-Player-Futebol-Q531814 (2;9.0), Santos-Brasil-Team-Futsal-Q4407923 (2;4.0)"
santos,pt,6274,"Santos-Brasil-Team-Futebol-Q80955 (5807;2.44), Neymar-Brasil-Player-Futebol-Q142794 (352;2.1), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (52;1.0), Pelé-Brasil-Player-Futebol-Q12897 (11;7.36), Santos-Brasil-Team-Futsal-Q4407923 (9;5.89), Rui Patrício-Portugal-Player-Futebol-Q294980 (6;5.17), Nuno Santos-Portugal-Player-Futebol-Q18127780 (5;7.6), José Mourinho-Portugal-Coach-Futebol-Q79983 (5;4.0), Gabriel Veron-Brasil-Player-Futebol-Q75059692 (4;10.25), Jonas-Brasil-Player-Futebol-Q326476 (4;6.75), Fernando Santos-Portugal-Coach-Futebol-Q360687 (3;11.33), Alisson Santos-Brasil-Player-Futebol (2;13.5), Diogo Santos-Portugal-Player-Futebol (2;7.0), Tiago Santos-Portugal-Player-Futebol-Q113955589 (2;16.5), Oscar-Brasil-Player-Futebol-Q19497 (2;14.0), Kazu Miura-Japón-Player-Futebol-Q331953 (2;7.5), Santos-Brasil-Team-Andebol (2;5.0), Santos-Brasil-Team-Andebol (2;6.0), União dos Santos-Portugal-Team-Futebol (2;13.5)"
sao,br,1628,"São Paulo-Brasil-Team-Futebol-Q38568 (1568;1.01), Corinthians-Brasil-Team-Futebol-Q35933 (51;2.0), Palmeiras-Brasil-Team-Futebol-Q80964 (7;2.0), Santos-Brasil-Team-Futebol-Q80955 (2;4.0)"
sao jose,br,1666,"São José-Brasil-Team-Futebol (948;1.15), São José-RS-Brasil-Team-Futebol-Q2508225 (672;2.19), São José-TO-Brasil-Team-Futebol (15;20.0), São José Futsal-Brasil-Team-Futsal (10;1.7), Vinícius Júnior-Brasil-Player-Futebol-Q28973866 (6;2.67), São José Feminino-Brasil-Team-Futebol (4;9.25), Yuri Alberto-Brasil-Player-Futebol-Q43252427 (3;2.67), São José Basketball-Brasil-Team-Basquetebol (2;1.5), São José dos Campos-Brasil-Team-Futebol (2;11.0), São José-RS Feminino-Brasil-Team-Futebol (2;8.0), São José Futsal-Brasil-Team-Futsal (2;1.0)"
sao martinho,pt,2838,"AR São Martinho-Portugal-Team-Futebol (2397;1.0), CCR São Martinho-Portugal-Team-Futebol (369;2.0), CDRC São Martinho de Mouros-Portugal-Team-Futsal (26;3.5), CDRC São Martinho de Mouros-Portugal-Team-Futebol (19;5.74), Juventude São Martinho-Portugal-Team-Futebol (8;6.5), Chiquinho-Portugal-Player-Futebol-Q17486571 (7;3.14), Liga São Martinho (França)-San Martín (Francia)-Competition-Futebol (4;3.0), GRV São Martinho-Portugal-Team-Futebol (3;8.67), Campeonato de São Martinho (Países Baixos)-Sint-Maarten-Competition-Futebol (3;4.33), GDC S. Martinho Cortiça-Portugal-Team-Futsal (2;15.5)"
